episode,step,hour,day,action,rebalance_cost,num_moves,total_demand,total_served,unmet_demand,reward,inventory_zone_0,inventory_zone_1,inventory_zone_2,inventory_zone_3,inventory_zone_4,inventory_zone_5
1,0,0,0,"[[0.054229721426963806, 0.0, 0.01750217005610466, 0.0, 0.022823970764875412, 0.019330861046910286], [0.04721059277653694, 0.005592414643615484, 0.06721171736717224, 0.044863078743219376, 0.14209312200546265, 0.0], [0.0, 0.0, 0.0, 0.06971638649702072, 0.026544570922851562, 0.0], [0.0, 0.10144609957933426, 0.0, 0.08484119921922684, 0.0, 0.007059433497488499], [0.06952998042106628, 0.08769221603870392, 0.0, 0.1259760856628418, 0.0, 0.029568258672952652], [0.0, 0.043139614164829254, 0.0, 0.03465103730559349, 0.12693186104297638, 0.0]]",1.699133271817118,21,141.0,141.0,0,0.5623008667281829,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,0,"[[0.05457644164562225, 0.0, 0.01764688268303871, 0.0, 0.023002538830041885, 0.01949523203074932], [0.046956002712249756, 0.005034629721194506, 0.06731479614973068, 0.04531743749976158, 0.14245468378067017, 0.0], [0.0, 0.0, 0.0, 0.06973996013402939, 0.026634138077497482, 0.0], [0.0, 0.1018558219075203, 0.0, 0.08547995239496231, 0.0, 0.0071889255195856094], [0.06978822499513626, 0.08736099302768707, 0.0, 0.12623631954193115, 0.0, 0.029911041259765625], [0.0, 0.04327775910496712, 0.0, 0.03474249318242073, 0.1270991563796997, 0.0]]",1.703215004876256,21,272.0,272.0,0,0.5222967849951238,0.97110957,1.0,1.0,0.9342418,1.0,1.0
1,2,2,0,"[[0.05505523085594177, 0.0, 0.017820660024881363, 0.0, 0.022888250648975372, 0.019716981798410416], [0.04718025401234627, 0.004940909333527088, 0.06736847758293152, 0.04550375044345856, 0.14296120405197144, 0.0], [0.0, 0.0, 0.0, 0.06962399184703827, 0.02680075168609619, 0.0], [0.0, 0.10253390669822693, 0.0, 0.0861540213227272, 0.0, 0.00735448719933629], [0.0700020045042038, 0.0876314789056778, 0.0, 0.12653085589408875, 0.0, 0.02995174750685692], [0.0, 0.044020459055900574, 0.0, 0.03503570333123207, 0.1276955008506775, 0.0]]",1.7106437056791037,21,391.0,391.0,0,0.4742893562943209,0.94833905,1.0,0.96532875,0.97629523,1.0,0.9948976
1,3,3,0,"[[0.055316247045993805, 0.0, 0.018094055354595184, 0.0, 0.022931791841983795, 0.020046018064022064], [0.04693243280053139, 0.004796789493411779, 0.06722097843885422, 0.04543193057179451, 0.14312127232551575, 0.0], [0.0, 0.0, 0.0, 0.06920462846755981, 0.026582021266222, 0.0], [0.0, 0.10289571434259415, 0.0, 0.08687043190002441, 0.0, 0.007585672661662102], [0.06981363892555237, 0.08725662529468536, 0.0, 0.12617580592632294, 0.0, 0.029769424349069595], [0.0, 0.04476971924304962, 0.0, 0.03534635528922081, 0.12755803763866425, 0.0]]",1.7110266936942935,21,530.0,530.0,0,0.5542889733063057,0.9609985,0.96882945,0.8679767,1.0,1.0,1.0
1,4,4,0,"[[0.055701710283756256, 0.0, 0.018253352493047714, 0.0, 0.022904351353645325, 0.02025662176311016], [0.04702434316277504, 0.0045572551898658276, 0.06733185797929764, 0.04573151469230652, 0.1436537206172943, 0.0], [0.0, 0.0, 0.0, 0.06921170651912689, 0.026725880801677704, 0.0], [0.0, 0.10356863588094711, 0.0, 0.08756563812494278, 0.0, 0.007707576267421246], [0.0701509639620781, 0.08738842606544495, 0.0, 0.12661850452423096, 0.0, 0.029978245496749878], [0.0, 0.04522813484072685, 0.0, 0.0354166105389595, 0.12801091372966766, 0.0]]",1.7179105929099023,21,657.0,657.0,0,0.5062820894070901,0.935535,0.94811606,0.86236167,1.0,1.0,1.0
1,5,5,0,"[[0.05536613613367081, 0.0, 0.018789660185575485, 0.0, 0.022961396723985672, 0.01988559402525425], [0.04638193920254707, 0.004414874594658613, 0.06698181480169296, 0.04574098438024521, 0.14288099110126495, 0.0], [0.0, 0.0, 0.0, 0.06867527961730957, 0.026604291051626205, 0.0], [0.0, 0.10317254811525345, 0.0, 0.08780311048030853, 0.0, 0.007786630652844906], [0.06980874389410019, 0.08684538304805756, 0.0, 0.1258406788110733, 0.0, 0.02997433766722679], [0.0, 0.04522320628166199, 0.0, 0.035044241696596146, 0.12763576209545135, 0.0]]",1.7102088718675077,21,795.0,795.0,0,0.5502897911281325,0.97375524,0.955726,0.8286365,0.9811541,1.0,0.92303246
1,6,6,0,"[[0.05594376474618912, 0.0, 0.018628742545843124, 0.0, 0.023014262318611145, 0.020281419157981873], [0.046863261610269547, 0.004309359472244978, 0.06728187203407288, 0.04594288766384125, 0.1440054178237915, 0.0], [0.0, 0.0, 0.0, 0.06897943466901779, 0.026897743344306946, 0.0], [0.0, 0.10430265218019485, 0.0, 0.0885428860783577, 0.0, 0.007977671921253204], [0.07034971565008163, 0.08732324093580246, 0.0, 0.12691621482372284, 0.0, 0.030185334384441376], [0.0, 0.04571959003806114, 0.0, 0.03530483320355415, 0.12837067246437073, 0.0]]",1.7226575054228306,21,958.0,958.0,0,0.6502773424945771,0.9479558,0.91944635,0.8445794,0.9992167,1.0,0.9725214
1,7,7,0,"[[0.0564667284488678, 0.0, 0.018783412873744965, 0.0, 0.022676151245832443, 0.02025950513780117], [0.04745067283511162, 0.003947107587009668, 0.06771604716777802, 0.046858396381139755, 0.14486786723136902, 0.0], [0.0, 0.0, 0.0, 0.06949605792760849, 0.027573414146900177, 0.0], [0.0, 0.10533789545297623, 0.0, 0.08921648561954498, 0.0, 0.007872219197452068], [0.07150205969810486, 0.08827117085456848, 0.0, 0.1283760666847229, 0.0, 0.03096892312169075], [0.0, 0.04588320106267929, 0.0, 0.034883953630924225, 0.12975038588047028, 0.0]]",1.7384057729505002,21,1149.0,1149.0,0,0.7622615942270495,0.8538423,0.9127046,0.96882254,0.98033625,1.0,0.93680125
1,8,8,0,"[[0.05646540969610214, 0.0, 0.019156809896230698, 0.0, 0.0225236713886261, 0.020189959555864334], [0.04737596586346626, 0.0039023798890411854, 0.06763392686843872, 0.04699830710887909, 0.14484497904777527, 0.0], [0.0, 0.0, 0.0, 0.06926888227462769, 0.027630101889371872, 0.0], [0.0, 0.10564830899238586, 0.0, 0.08971992880105972, 0.0, 0.007914752699434757], [0.07165322452783585, 0.0883631557226181, 0.0, 0.12840843200683594, 0.0, 0.031070860102772713], [0.0, 0.04622012376785278, 0.0, 0.034576740115880966, 0.12995204329490662, 0.0]]",1.7398177436552942,21,1435.0,1435.0,0,1.1422601822563447,0.85366136,0.87982297,0.9606699,1.0,1.0,0.89564806
1,9,9,0,"[[0.05708571523427963, 0.0, 0.019356369972229004, 0.0, 0.02213812619447708, 0.0203874334692955], [0.047700438648462296, 0.00343846483156085, 0.06781743466854095, 0.04772203415632248, 0.14536188542842865, 0.0], [0.0, 0.0, 0.0, 0.06933969259262085, 0.02801353484392166, 0.0], [0.0, 0.10640174895524979, 0.0, 0.09038238227367401, 0.0, 0.007919257506728172], [0.07235214114189148, 0.08876334130764008, 0.0, 0.12905865907669067, 0.0, 0.03154001757502556], [0.0, 0.046773020178079605, 0.0, 0.034556206315755844, 0.13084843754768372, 0.0]]",1.7503854865208268,21,1646.0,1646.0,0,0.8422496145134791,0.7587774,0.8847308,1.0,1.0,1.0,0.8727469
