bike_id,bike_type,status
BIKE00000,助力车,正常
BIKE00001,普通车,正常
BIKE00002,普通车,正常
BIKE00003,普通车,正常
BIKE00004,助力车,正常
BIKE00005,普通车,正常
BIKE00006,普通车,正常
BIKE00007,普通车,正常
BIKE00008,助力车,正常
BIKE00009,普通车,正常
BIKE00010,助力车,维修
BIKE00011,普通车,正常
BIKE00012,助力车,正常
BIKE00013,普通车,正常
BIKE00014,普通车,正常
BIKE00015,助力车,正常
BIKE00016,普通车,损坏
BIKE00017,普通车,正常
BIKE00018,普通车,正常
BIKE00019,普通车,正常
BIKE00020,助力车,正常
BIKE00021,助力车,正常
BIKE00022,助力车,正常
BIKE00023,普通车,正常
BIKE00024,助力车,正常
BIKE00025,普通车,正常
BIKE00026,普通车,正常
BIKE00027,普通车,正常
BIKE00028,助力车,正常
BIKE00029,普通车,正常
BIKE00030,助力车,正常
BIKE00031,普通车,正常
BIKE00032,普通车,维修
BIKE00033,普通车,正常
BIKE00034,助力车,正常
BIKE00035,助力车,正常
BIKE00036,普通车,维修
BIKE00037,普通车,正常
BIKE00038,普通车,正常
BIKE00039,助力车,正常
BIKE00040,普通车,正常
BIKE00041,普通车,正常
BIKE00042,普通车,正常
BIKE00043,普通车,正常
BIKE00044,普通车,正常
BIKE00045,普通车,正常
BIKE00046,普通车,正常
BIKE00047,普通车,正常
BIKE00048,助力车,正常
BIKE00049,普通车,正常
BIKE00050,普通车,维修
BIKE00051,助力车,正常
BIKE00052,普通车,正常
BIKE00053,普通车,正常
BIKE00054,普通车,正常
BIKE00055,助力车,正常
BIKE00056,助力车,正常
BIKE00057,普通车,正常
BIKE00058,助力车,正常
BIKE00059,助力车,正常
BIKE00060,普通车,正常
BIKE00061,普通车,正常
BIKE00062,普通车,损坏
BIKE00063,普通车,正常
BIKE00064,助力车,正常
BIKE00065,普通车,正常
BIKE00066,普通车,正常
BIKE00067,普通车,正常
BIKE00068,助力车,正常
BIKE00069,普通车,正常
BIKE00070,助力车,正常
BIKE00071,助力车,正常
BIKE00072,普通车,正常
BIKE00073,普通车,正常
BIKE00074,普通车,正常
BIKE00075,普通车,正常
BIKE00076,普通车,正常
BIKE00077,普通车,正常
BIKE00078,助力车,正常
BIKE00079,助力车,正常
BIKE00080,助力车,正常
BIKE00081,普通车,维修
BIKE00082,助力车,正常
BIKE00083,普通车,正常
BIKE00084,普通车,正常
BIKE00085,助力车,正常
BIKE00086,普通车,正常
BIKE00087,普通车,正常
BIKE00088,助力车,正常
BIKE00089,普通车,维修
BIKE00090,普通车,正常
BIKE00091,助力车,正常
BIKE00092,普通车,正常
BIKE00093,普通车,正常
BIKE00094,助力车,维修
BIKE00095,普通车,正常
BIKE00096,普通车,正常
BIKE00097,普通车,正常
BIKE00098,普通车,正常
BIKE00099,普通车,正常
BIKE00100,普通车,正常
BIKE00101,普通车,正常
BIKE00102,助力车,正常
BIKE00103,助力车,正常
BIKE00104,普通车,正常
BIKE00105,普通车,正常
