user_id,gender,age,member_type
USER00000,男,19,会员
USER00001,男,32,普通
USER00002,男,61,会员
USER00003,男,55,普通
USER00004,男,23,普通
USER00005,男,53,普通
USER00006,女,32,普通
USER00007,女,18,会员
USER00008,男,62,普通
USER00009,女,27,普通
USER00010,女,24,普通
USER00011,男,40,会员
USER00012,女,20,会员
USER00013,男,42,普通
USER00014,女,58,普通
USER00015,女,54,普通
USER00016,男,20,普通
USER00017,女,23,会员
USER00018,男,42,普通
USER00019,女,28,普通
USER00020,男,60,普通
USER00021,男,56,普通
USER00022,男,28,普通
USER00023,女,58,普通
USER00024,男,61,普通
USER00025,男,32,会员
USER00026,女,43,普通
USER00027,男,54,会员
USER00028,女,31,普通
USER00029,女,59,普通
USER00030,女,26,普通
USER00031,女,65,普通
USER00032,女,41,普通
USER00033,男,50,普通
USER00034,男,25,普通
USER00035,男,61,普通
USER00036,男,42,普通
USER00037,女,51,普通
USER00038,男,61,会员
USER00039,女,59,普通
USER00040,女,45,普通
USER00041,男,64,会员
USER00042,女,50,会员
USER00043,男,58,普通
USER00044,男,27,普通
USER00045,男,52,会员
USER00046,男,56,普通
USER00047,男,25,会员
USER00048,女,33,普通
USER00049,男,23,会员
USER00050,男,52,会员
USER00051,男,60,普通
USER00052,男,34,普通
USER00053,女,31,会员
USER00054,男,63,普通
USER00055,女,46,会员
USER00056,女,25,普通
USER00057,男,39,普通
USER00058,男,55,普通
USER00059,男,63,普通
USER00060,男,22,会员
USER00061,女,22,普通
USER00062,女,60,普通
USER00063,男,64,会员
USER00064,女,33,会员
USER00065,女,30,普通
USER00066,女,40,普通
USER00067,女,64,普通
USER00068,男,21,普通
USER00069,女,24,普通
USER00070,男,52,普通
USER00071,女,29,普通
USER00072,男,22,普通
USER00073,男,21,普通
USER00074,男,23,会员
USER00075,男,28,普通
USER00076,女,31,会员
USER00077,男,28,普通
USER00078,女,34,会员
USER00079,女,36,普通
USER00080,女,27,普通
USER00081,男,21,普通
USER00082,男,65,普通
USER00083,男,55,普通
USER00084,男,21,会员
USER00085,男,29,普通
USER00086,男,61,会员
USER00087,女,25,会员
USER00088,男,55,普通
USER00089,男,44,普通
USER00090,女,34,普通
USER00091,女,33,普通
USER00092,男,60,普通
USER00093,女,38,会员
USER00094,男,18,普通
USER00095,男,22,普通
USER00096,女,26,会员
USER00097,男,33,普通
USER00098,男,46,会员
USER00099,女,57,会员
USER00100,男,60,会员
USER00101,女,60,普通
USER00102,男,34,普通
USER00103,男,65,普通
USER00104,女,36,普通
USER00105,女,31,普通
USER00106,女,50,普通
USER00107,男,23,普通
USER00108,女,20,普通
USER00109,男,58,会员
USER00110,男,65,普通
USER00111,女,53,普通
USER00112,男,62,会员
USER00113,男,41,普通
USER00114,男,45,普通
USER00115,女,41,会员
USER00116,男,40,普通
USER00117,男,60,普通
USER00118,女,57,会员
USER00119,男,28,会员
USER00120,男,44,普通
USER00121,女,44,会员
USER00122,男,35,普通
USER00123,男,42,会员
USER00124,女,32,普通
USER00125,女,40,普通
USER00126,男,32,普通
USER00127,男,43,普通
USER00128,男,35,普通
USER00129,女,61,会员
USER00130,女,19,普通
USER00131,女,29,普通
USER00132,女,20,普通
USER00133,女,40,会员
USER00134,女,45,普通
USER00135,男,42,会员
USER00136,男,34,普通
USER00137,女,18,普通
USER00138,男,41,普通
USER00139,女,57,普通
USER00140,男,64,会员
USER00141,女,60,普通
USER00142,女,62,普通
USER00143,男,30,普通
USER00144,女,61,会员
USER00145,男,57,普通
USER00146,女,53,会员
USER00147,女,36,普通
USER00148,女,47,普通
USER00149,男,50,普通
USER00150,男,60,普通
USER00151,女,23,会员
USER00152,男,61,普通
USER00153,男,27,普通
USER00154,男,48,普通
USER00155,男,47,普通
USER00156,男,63,普通
USER00157,女,43,普通
USER00158,男,24,会员
USER00159,男,29,会员
USER00160,女,21,普通
USER00161,男,47,普通
USER00162,女,60,普通
USER00163,女,46,普通
USER00164,女,53,普通
USER00165,男,65,会员
USER00166,女,34,会员
USER00167,女,51,普通
USER00168,男,35,普通
USER00169,女,33,普通
USER00170,女,52,普通
USER00171,男,32,普通
USER00172,男,63,普通
USER00173,女,44,普通
USER00174,女,44,普通
USER00175,女,42,会员
USER00176,男,54,普通
USER00177,男,40,普通
USER00178,女,44,普通
USER00179,男,49,普通
USER00180,女,49,普通
USER00181,女,60,普通
USER00182,女,64,普通
USER00183,女,26,会员
USER00184,男,43,普通
USER00185,男,23,普通
USER00186,男,47,普通
USER00187,女,42,普通
USER00188,女,38,普通
USER00189,女,35,会员
USER00190,女,34,会员
USER00191,女,19,会员
USER00192,男,40,普通
USER00193,男,59,普通
USER00194,男,33,普通
USER00195,男,57,普通
USER00196,男,48,普通
USER00197,男,47,普通
USER00198,女,28,普通
USER00199,男,28,会员
USER00200,男,55,普通
USER00201,女,54,普通
USER00202,女,43,会员
USER00203,男,22,普通
USER00204,男,24,普通
USER00205,女,61,普通
USER00206,男,54,会员
USER00207,女,52,普通
USER00208,女,22,普通
USER00209,女,18,会员
USER00210,女,24,普通
USER00211,女,58,会员
USER00212,女,63,普通
USER00213,男,64,普通
USER00214,女,57,会员
USER00215,女,47,普通
USER00216,女,38,会员
USER00217,男,35,会员
USER00218,男,47,普通
USER00219,女,39,普通
USER00220,女,29,普通
USER00221,女,34,普通
USER00222,女,53,普通
USER00223,男,23,普通
USER00224,女,49,普通
USER00225,男,62,普通
USER00226,女,46,会员
USER00227,男,36,普通
USER00228,男,37,普通
USER00229,女,48,普通
USER00230,女,45,会员
USER00231,女,40,会员
USER00232,女,37,普通
USER00233,男,64,普通
USER00234,男,65,普通
USER00235,男,30,普通
USER00236,女,35,会员
USER00237,女,24,会员
USER00238,女,32,普通
USER00239,女,18,会员
USER00240,男,35,普通
