episode,step,hour,day,action,rebalance_cost,num_moves,total_demand,total_served,unmet_demand,reward,inventory_zone_0,inventory_zone_1,inventory_zone_2,inventory_zone_3,inventory_zone_4,inventory_zone_5
1,0,0,0,"[[0.11016111075878143, 0.4286337196826935, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.05142296850681305, 0.0, 0.17593169212341309, 0.0, 0.0, 0.0], [0.9378330707550049, 0.23277440667152405, 0.2243841141462326, 0.0, 0.0, 0.19819532334804535], [1.2791696786880493, 1.6456949710845947, 0.8195684552192688, 0.0, 0.0, 0.33858340978622437], [1.5897295475006104, 0.8975830674171448, 0.0193621888756752, 0.2838646173477173, 0.0, 0.13408347964286804]]",15.85855533182621,17,145.0,145.0,0,0.5641414446681738,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,0,"[[0.0, 0.3326924443244934, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.11724118143320084, 0.0, 0.012681812979280949, 0.0, 0.16598406434059143, 0.0909932553768158], [0.9060981273651123, 0.41899433732032776, 0.1586599051952362, 0.0, 0.0, 0.11637422442436218], [1.292869210243225, 1.3755412101745605, 0.6805863380432129, 0.0, 0.0, 0.1074516698718071], [1.521930456161499, 0.9482372999191284, 0.14655116200447083, 0.2425781935453415, 0.0, 0.24752002954483032]]",15.468855358660221,18,297.0,297.0,0,0.5925311446413398,0.98302585,0.96730196,1.0,1.0,0.86223155,1.0
1,2,2,0,"[[0.0, 0.3070759177207947, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.12081508338451385, 0.0, 0.0, 0.0, 0.2230776846408844, 0.11184440553188324], [0.9104353189468384, 0.45007485151290894, 0.1537998914718628, 0.0, 0.0, 0.13571928441524506], [1.2779316902160645, 1.2890136241912842, 0.6632017493247986, 0.0, 0.0, 0.0439315140247345], [1.5093090534210205, 0.9822478890419006, 0.20200124382972717, 0.2299179583787918, 0.0, 0.27499157190322876]]",15.568346619606018,17,438.0,438.0,0,0.548431653380394,0.9554782,0.9831775,0.97291297,1.0,0.8245665,1.0
1,3,3,0,"[[0.0, 0.26914548873901367, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.17347055673599243, 0.006588248535990715, 0.0, 0.0, 0.33668941259384155, 0.22000576555728912], [0.8522013425827026, 0.5820303559303284, 0.09961953014135361, 0.0, 0.0, 0.055639639496803284], [1.2890225648880005, 1.1341912746429443, 0.5578368902206421, 0.0, 0.0, 0.0], [1.438308596611023, 1.0076472759246826, 0.23410502076148987, 0.20693005621433258, 0.0, 0.3007032871246338]]",15.420579577796161,17,552.0,552.0,0,0.4405794204222038,0.9513338,0.96967256,1.0,1.0,0.74813235,0.9854462
1,4,4,0,"[[0.0, 0.14575204253196716, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.2129722237586975, 0.08747212588787079, 0.0, 0.0, 0.3797285258769989, 0.2760130763053894], [0.7749323844909668, 0.6855648756027222, 0.04750370979309082, 0.0, 0.0, 0.0], [1.3214586973190308, 1.0676332712173462, 0.43647879362106323, 0.0, 0.0, 0.0], [1.2835118770599365, 1.1265013217926025, 0.2772302031517029, 0.27747803926467896, 0.0, 0.27016481757164]]",15.307379834353924,16,677.0,677.0,0,0.48469262016564607,0.9845624,0.95886004,1.0,0.9479448,0.6929769,1.0
1,5,5,0,"[[0.0, 0.292959064245224, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.12966841459274292, 0.0, 0.0, 0.0, 0.25172585248947144, 0.33319228887557983], [0.6591007113456726, 0.6065874099731445, 0.1142927035689354, 0.0, 0.0, 0.0], [1.2811611890792847, 1.1415939331054688, 0.38633278012275696, 0.0, 0.0, 0.0], [1.210307240486145, 0.9623326659202576, 0.08557229489088058, 0.20248351991176605, 0.0, 0.18867874145507812]]",13.621750444173813,15,816.0,816.0,0,0.5423782495558261,0.99097073,0.9206021,1.0,0.9582161,0.7460385,0.89366513
1,6,6,0,"[[0.029415685683488846, 0.2927425503730774, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.10329132527112961, 0.0, 0.0, 0.0, 0.15633821487426758, 0.37099969387054443], [0.5851225256919861, 0.5433661341667175, 0.12122925370931625, 0.0, 0.0, 0.0], [1.2750825881958008, 1.2615681886672974, 0.37999290227890015, 0.0, 0.0, 0.0], [1.1221234798431396, 1.0042139291763306, 0.004842974245548248, 0.26892906427383423, 0.0, 0.03297711908817291]]",13.16212572902441,16,962.0,962.0,0,0.5708378742709755,0.98974776,0.9428183,0.9910106,0.9060837,0.78983974,0.87429565
1,7,7,0,"[[0.0, 0.25850364565849304, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.14356984198093414, 0.0, 0.0, 0.0, 0.2727928161621094, 0.41830188035964966], [0.5616985559463501, 0.6830195784568787, 0.09230107814073563, 0.0, 0.0, 0.0], [1.2763994932174683, 1.0731388330459595, 0.27562186121940613, 0.0, 0.0, 0.0], [1.0639064311981201, 1.009126901626587, 0.06254617124795914, 0.21728071570396423, 0.0, 0.1510467529296875]]",13.088694266974926,15,1179.0,1179.0,0,0.8549113057330251,1.0,0.9130033,1.0,0.9372707,0.7088668,0.8648731
1,8,8,0,"[[0.0, 0.13419313728809357, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.2648210823535919, 0.09946584701538086, 0.0, 0.0, 0.4412710964679718, 0.38757169246673584], [0.6462815999984741, 0.8392309546470642, 0.011047476902604103, 0.0, 0.0, 0.0], [1.2700034379959106, 0.900596559047699, 0.27069565653800964, 0.0, 0.0, 0.0], [1.0794734954833984, 1.157551646232605, 0.24308764934539795, 0.25333935022354126, 0.0, 0.2981413006782532]]",14.496934037655592,16,1449.0,1449.0,0,1.0655030659623443,0.97382826,0.9021518,1.0,0.9576554,0.6213148,0.9402205
1,9,9,0,"[[0.0, 0.18002727627754211, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.12139973044395447, 0.040232010185718536, 0.0, 0.0, 0.4279876947402954, 0.45496946573257446], [0.5408598780632019, 0.8127949833869934, 0.1060185357928276, 0.0, 0.0, 0.0], [1.2544440031051636, 0.7664861679077148, 0.13646256923675537, 0.0, 0.0, 0.0], [0.9588523507118225, 1.0480393171310425, 0.20397448539733887, 0.1379348188638687, 0.0, 0.3157060146331787]]",12.941784780472517,16,1644.0,1644.0,0,0.7670582152195274,1.0,0.93067074,0.9343922,0.96331936,0.5879998,0.85174346
