scenario,policy,service_rate,net_profit,total_cost
default,Zero-Action,0.9423464534982658,124635.07123712415,0.0
default,Proportional-Optimized,0.9999039842604865,130903.0892332348,1152.2189260721207
default,Min-Cost-Flow,0.9516730801816905,125674.94326853675,0.0
sunny_weekday,Zero-Action,0.9423464534982658,124635.07123712415,0.0
sunny_weekday,Proportional-Optimized,0.9999039842604865,130903.0892332348,1152.2189260721207
sunny_weekday,Min-Cost-Flow,0.9516730801816905,125674.94326853675,0.0
rainy_weekend,Zero-Action,0.9537668412981825,112876.73134924607,0.0
rainy_weekend,Proportional-Optimized,1.0,116868.76935756207,1231.2306424379349
rainy_weekend,Min-Cost-Flow,0.9569978454591905,112485.2987899058,0.0
summer_peak,Zero-Action,0.9400784302514488,127445.86917326023,0.0
summer_peak,Proportional-Optimized,0.9998804184320976,134366.16150140308,1173.6795474688213
summer_peak,Min-Cost-Flow,0.9475115645477653,128243.80687083874,0.0
winter_low,Zero-Action,0.9738881050170637,110299.01448643109,0.0
winter_low,Proportional-Optimized,1.0,112705.06784236431,1025.5988243023555
winter_low,Min-Cost-Flow,0.9629478639582287,108985.6993625086,0.0
