episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
1,0,1,0.0,0,141.0,141.0,1.0,0.564
1,1,2,0.0,0,272.0,272.0,1.0,0.524
1,2,3,0.0,0,391.0,391.0,1.0,0.476
1,3,4,0.0,0,530.0,530.0,1.0,0.556
1,4,5,0.0,0,657.0,657.0,1.0,0.508
1,5,6,0.0,0,795.0,795.0,1.0,0.552
1,6,7,0.0,0,958.0,958.0,1.0,0.652
1,7,8,0.0,0,1149.0,1149.0,1.0,0.764
1,8,9,0.0,0,1435.0,1435.0,1.0,1.144
1,9,10,25.219074726104736,3,1646.0,1646.0,1.0,0.8187809252738952
1,10,11,12.534927368164062,1,1831.0,1831.0,1.0,0.7274650726318359
1,11,12,0.0,0,2052.0,2052.0,1.0,0.884
1,12,13,14.780762434005737,2,2297.0,2297.0,1.0,0.9652192375659943
1,13,14,0.0,0,2498.0,2498.0,1.0,0.804
1,14,15,0.0,0,2725.0,2725.0,1.0,0.908
1,15,16,65.5805572271347,6,2937.0,2937.0,1.0,0.7824194427728653
1,16,17,0.0,0,3188.0,3188.0,1.0,1.004
1,17,18,0.0,0,3460.0,3460.0,1.0,1.088
1,18,19,19.857012033462524,2,3761.0,3761.0,1.0,1.1841429879665375
1,19,20,0.0,0,4023.0,4023.0,1.0,1.048
1,20,21,17.380571365356445,2,4217.0,4217.0,1.0,0.7586194286346436
1,21,22,11.648990631103516,1,4390.0,4390.0,1.0,0.6803510093688965
1,22,23,0.0,0,4556.0,4556.0,1.0,0.664
1,23,24,0.0,0,4722.0,4722.0,1.0,0.664
1,24,25,12.960026264190674,2,4880.0,4880.0,1.0,0.6190399737358093
1,25,26,16.32982063293457,1,5020.0,5020.0,1.0,0.5436701793670654
1,26,27,22.49702548980713,2,5158.0,5158.0,1.0,0.5295029745101929
1,27,28,16.55893325805664,1,5277.0,5277.0,1.0,0.45944106674194335
1,28,29,0.0,0,5387.0,5387.0,1.0,0.44
1,29,30,27.28222370147705,2,5505.0,5505.0,1.0,0.44471777629852294
1,30,31,0.0,0,5642.0,5642.0,1.0,0.548
1,31,32,21.127817153930664,2,5854.0,5854.0,1.0,0.8268721828460693
1,32,33,0.0,0,6095.0,6095.0,1.0,0.964
1,33,34,0.0,0,6289.0,6289.0,1.0,0.776
1,34,35,31.00545024871826,2,6484.0,6484.0,1.0,0.7489945497512818
1,35,36,0.0,0,6682.0,6682.0,1.0,0.792
1,36,37,57.5692024230957,4,6906.0,6906.0,1.0,0.8384307975769043
1,37,38,16.276210069656372,2,7149.0,7149.0,1.0,0.9557237899303437
1,38,39,0.0,0,7356.0,7356.0,1.0,0.828
1,39,40,18.534367561340332,2,7562.0,7562.0,1.0,0.8054656324386597
1,40,41,23.180271983146667,2,7815.0,7815.0,1.0,0.9888197280168534
1,41,42,14.628633499145508,2,8110.0,8110.0,1.0,1.1653713665008545
1,42,43,47.32998514175415,5,8422.0,8422.0,1.0,1.2006700148582459
1,43,44,19.644443035125732,2,8650.0,8650.0,1.0,0.8923555569648742
1,44,45,0.0,0,8839.0,8839.0,1.0,0.756
1,45,46,21.668570041656494,2,9025.0,9025.0,1.0,0.7223314299583435
1,46,47,11.05444622039795,1,9224.0,9224.0,1.0,0.7849455537796021
1,47,48,0.0,0,9403.0,9403.0,1.0,0.716
1,48,49,45.34571361541748,4,9532.0,9532.0,1.0,0.4706542863845825
1,49,50,12.038808345794678,1,9669.0,9669.0,1.0,0.5359611916542053
1,50,51,15.872434377670288,1,9819.0,9819.0,1.0,0.5841275656223297
1,51,52,0.0,0,9952.0,9952.0,1.0,0.532
1,52,53,7.038572788238525,1,10066.0,10066.0,1.0,0.44896142721176147
1,53,54,32.196797370910645,4,10204.0,10204.0,1.0,0.5198032026290893
1,54,55,0.0,0,10359.0,10359.0,1.0,0.62
1,55,56,0.0,0,10545.0,10545.0,1.0,0.744
1,56,57,8.94868016242981,1,10803.0,10803.0,1.0,1.0230513198375701
1,57,58,0.0,0,11037.0,11037.0,1.0,0.936
1,58,59,14.678782224655151,2,11228.0,11228.0,1.0,0.7493212177753449
1,59,60,9.797537803649902,1,11433.0,11433.0,1.0,0.8102024621963501
1,60,61,19.72889757156372,2,11634.0,11634.0,1.0,0.7842711024284362
1,61,62,14.712788581848145,1,11851.0,11851.0,1.0,0.8532872114181519
1,62,63,0.0,0,12048.0,12048.0,1.0,0.788
1,63,64,25.437119007110596,2,12291.0,12291.0,1.0,0.9465628809928894
1,64,65,14.054553508758545,2,12552.0,12552.0,1.0,1.0299454464912414
1,65,66,33.254679918289185,3,12846.0,12846.0,1.0,1.1427453200817108
1,66,67,37.35822916030884,4,13123.0,13123.0,1.0,1.0706417708396911
1,67,68,30.882696628570557,2,13356.0,13356.0,1.0,0.9011173033714295
1,68,69,21.92849826812744,2,13593.0,13593.0,1.0,0.9260715017318726
1,69,70,24.57223892211914,2,13806.0,13806.0,1.0,0.8274277610778809
1,70,71,28.83676028251648,3,13970.0,13970.0,1.0,0.6271632397174836
1,71,72,0.0,0,14144.0,14144.0,1.0,0.696
1,72,73,0.0,0,14286.0,14286.0,1.0,0.568
1,73,74,0.0,0,14450.0,14450.0,1.0,0.656
1,74,75,20.679316759109497,2,14590.0,14590.0,1.0,0.5393206832408906
1,75,76,0.0,0,14707.0,14707.0,1.0,0.468
1,76,77,40.43326187133789,4,14832.0,14832.0,1.0,0.4595667381286621
1,77,78,0.0,0,14966.0,14966.0,1.0,0.536
1,78,79,0.0,0,15124.0,15124.0,1.0,0.632
1,79,80,0.0,0,15314.0,15314.0,1.0,0.76
1,80,81,11.235357761383057,2,15588.0,15588.0,1.0,1.084764642238617
1,81,82,10.854424238204956,1,15790.0,15790.0,1.0,0.797145575761795
1,82,83,8.600480556488037,1,16008.0,16008.0,1.0,0.863399519443512
1,83,84,0.0,0,16213.0,16213.0,1.0,0.82
1,84,85,11.745732307434082,1,16412.0,16412.0,1.0,0.7842542676925659
1,85,86,17.069430351257324,2,16623.0,16623.0,1.0,0.8269305696487427
1,86,87,20.909794569015503,2,16850.0,16850.0,1.0,0.8870902054309845
1,87,88,0.0,0,17090.0,17090.0,1.0,0.96
1,88,89,33.077189445495605,2,17310.0,17310.0,1.0,0.8469228105545044
1,89,90,12.098602294921875,1,17606.0,17606.0,1.0,1.171901397705078
1,90,91,66.87413454055786,7,17924.0,17924.0,1.0,1.2051258654594421
1,91,92,53.36816072463989,4,18185.0,18185.0,1.0,0.9906318392753601
1,92,93,9.1337890625,1,18400.0,18400.0,1.0,0.8508662109375
1,93,94,0.0,0,18579.0,18579.0,1.0,0.716
1,94,95,0.0,0,18746.0,18746.0,1.0,0.668
1,95,96,0.0,0,18880.0,18880.0,1.0,0.536
1,96,97,13.481220245361328,1,19023.0,19023.0,1.0,0.5585187797546387
1,97,98,23.81127405166626,2,19162.0,19162.0,1.0,0.5321887259483338
1,98,99,26.211256504058838,2,19287.0,19287.0,1.0,0.4737887434959412
1,99,100,0.0,0,19410.0,19410.0,1.0,0.492
1,100,101,16.85352873802185,2,19544.0,19544.0,1.0,0.5191464712619781
1,101,102,0.0,0,19680.0,19680.0,1.0,0.544
1,102,103,0.0,0,19838.0,19838.0,1.0,0.632
1,103,104,0.0,0,20052.0,20052.0,1.0,0.856
1,104,105,11.620827913284302,2,20322.0,20322.0,1.0,1.0683791720867157
1,105,106,0.0,0,20529.0,20529.0,1.0,0.828
1,106,107,27.278294563293457,2,20719.0,20719.0,1.0,0.7327217054367066
1,107,108,4.640057802200317,1,20923.0,20923.0,1.0,0.8113599421977997
1,108,109,0.0,0,21120.0,21120.0,1.0,0.788
1,109,110,0.0,0,21314.0,21314.0,1.0,0.776
1,110,111,0.0,0,21531.0,21531.0,1.0,0.868
1,111,112,10.605584383010864,2,21785.0,21785.0,1.0,1.0053944156169892
1,112,113,0.0,0,22027.0,22027.0,1.0,0.968
1,113,114,15.975957870483398,2,22340.0,22340.0,1.0,1.2360240421295166
1,114,115,36.87083339691162,4,22629.0,22629.0,1.0,1.1191291666030885
1,115,116,5.374834299087524,1,22878.0,22878.0,1.0,0.9906251657009125
1,116,117,0.0,0,23072.0,23072.0,1.0,0.776
1,117,118,22.374834537506104,2,23264.0,23264.0,1.0,0.7456251654624939
1,118,119,52.89580249786377,4,23440.0,23440.0,1.0,0.6511041975021362
1,119,120,0.0,0,23600.0,23600.0,1.0,0.64
1,120,121,7.770116806030273,1,23756.0,23756.0,1.0,0.6162298831939698
1,121,122,0.0,0,23874.0,23874.0,1.0,0.472
1,122,123,0.0,0,23993.0,23993.0,1.0,0.476
1,123,124,8.301987648010254,1,24123.0,24123.0,1.0,0.5116980123519898
1,124,125,5.1722517013549805,1,24263.0,24263.0,1.0,0.554827748298645
1,125,126,0.0,0,24398.0,24398.0,1.0,0.54
1,126,127,17.835491180419922,1,24556.0,24556.0,1.0,0.6141645088195801
1,127,128,0.0,0,24745.0,24745.0,1.0,0.756
1,128,129,9.075599670410156,1,25032.0,25032.0,1.0,1.1389244003295897
1,129,130,15.417654514312744,1,25270.0,25270.0,1.0,0.9365823454856873
1,130,131,17.61019194126129,2,25470.0,25470.0,1.0,0.7823898080587387
1,131,132,8.405944347381592,1,25676.0,25676.0,1.0,0.8155940556526184
1,132,133,42.48425340652466,4,25903.0,25903.0,1.0,0.8655157465934753
1,133,134,18.22743034362793,1,26118.0,26118.0,1.0,0.841772569656372
1,134,135,32.12015676498413,4,26336.0,26336.0,1.0,0.8398798432350159
1,135,136,24.86780309677124,2,26565.0,26565.0,1.0,0.8911321969032288
1,136,137,0.0,0,26816.0,26816.0,1.0,1.004
1,137,138,12.823378324508667,2,27101.0,27101.0,1.0,1.1271766216754913
1,138,139,24.12286949157715,2,27411.0,27411.0,1.0,1.2158771305084228
1,139,140,33.09916830062866,3,27669.0,27669.0,1.0,0.9989008316993714
1,140,141,0.0,0,27908.0,27908.0,1.0,0.956
1,141,142,13.967752933502197,2,28070.0,28070.0,1.0,0.6340322470664979
1,142,143,13.682142972946167,2,28260.0,28260.0,1.0,0.7463178570270539
1,143,144,4.758864402770996,1,28415.0,28415.0,1.0,0.615241135597229
1,144,145,0.0,0,28544.0,28544.0,1.0,0.516
1,145,146,0.0,0,28675.0,28675.0,1.0,0.524
1,146,147,0.0,0,28798.0,28798.0,1.0,0.492
1,147,148,17.171798706054688,1,28937.0,28937.0,1.0,0.5388282012939453
1,148,149,5.991755485534668,1,29066.0,29066.0,1.0,0.5100082445144654
1,149,150,6.741610765457153,1,29202.0,29202.0,1.0,0.5372583892345428
