episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
1,0,1,15.85855533182621,17,141.0,141.0,1.0,0.5481414446681738
1,1,2,15.84591081738472,18,272.0,272.0,1.0,0.5081540891826153
1,2,3,15.344800643622875,18,391.0,391.0,1.0,0.4606551993563771
1,3,4,15.661426357924938,16,530.0,530.0,1.0,0.540338573642075
1,4,5,15.662040416151285,17,657.0,657.0,1.0,0.49233795958384874
1,5,6,14.119607672095299,17,795.0,795.0,1.0,0.5378803923279047
1,6,7,14.299208492040634,15,958.0,958.0,1.0,0.6377007915079593
1,7,8,14.681692473590374,17,1149.0,1149.0,1.0,0.7493183075264096
1,8,9,13.946456115692854,16,1435.0,1435.0,1.0,1.1300535438843071
1,9,10,14.187194745987654,15,1646.0,1646.0,1.0,0.8298128052540124
1,10,11,13.805948320776224,15,1831.0,1831.0,1.0,0.7261940516792238
1,11,12,14.283431276679039,15,2052.0,2052.0,1.0,0.8697165687233209
1,12,13,14.143988374620676,15,2297.0,2297.0,1.0,0.9658560116253794
1,13,14,13.568087942898273,15,2498.0,2498.0,1.0,0.7904319120571017
1,14,15,13.773354228585958,16,2725.0,2725.0,1.0,0.8942266457714141
1,15,16,13.777055218815804,16,2937.0,2937.0,1.0,0.8342229447811842
1,16,17,14.04549827426672,16,3188.0,3188.0,1.0,0.9899545017257333
1,17,18,13.36306320503354,15,3460.0,3460.0,1.0,1.0746369367949664
1,18,19,13.26198624074459,17,3761.0,3761.0,1.0,1.1907380137592554
1,19,20,12.785220507532358,17,4023.0,4023.0,1.0,1.0352147794924675
1,20,21,14.023030955344439,16,4217.0,4217.0,1.0,0.7619769690446556
1,21,22,13.58312863111496,17,4390.0,4390.0,1.0,0.6784168713688851
1,22,23,12.57630953937769,14,4556.0,4556.0,1.0,0.6514236904606223
1,23,24,12.54370129853487,16,4722.0,4722.0,1.0,0.6514562987014652
1,24,25,14.102135062217712,15,4880.0,4880.0,1.0,0.6178978649377823
1,25,26,14.911100534722209,19,5020.0,5020.0,1.0,0.5450888994652778
1,26,27,14.89348023198545,18,5158.0,5158.0,1.0,0.5371065197680146
1,27,28,16.689747743308544,21,5277.0,5277.0,1.0,0.4593102522566915
1,28,29,17.14894124120474,21,5387.0,5387.0,1.0,0.42285105875879525
1,29,30,17.375718414783478,21,5505.0,5505.0,1.0,0.4546242815852165
1,30,31,16.16537236236036,20,5642.0,5642.0,1.0,0.5318346276376397
1,31,32,17.473155472427607,21,5854.0,5854.0,1.0,0.8305268445275724
1,32,33,17.289263742044568,20,6095.0,6095.0,1.0,0.9467107362579554
1,33,34,17.70837825257331,20,6289.0,6289.0,1.0,0.7582916217474267
1,34,35,17.504199773073196,17,6484.0,6484.0,1.0,0.7624958002269268
1,35,36,17.091259827837348,16,6682.0,6682.0,1.0,0.7749087401721626
