policy,scenario,episode,total_reward,total_served,total_demand,total_cost,service_rate,net_profit
Proportional-Optimized,default,0,131.3158609465733,33149.70307887222,33153.0,1276.3575266599655,0.9999005543652827,131322.4547888289
Proportional-Optimized,default,1,130.57823786432374,32996.05557844181,33006.0,1386.0956063270569,0.9996987086724174,130598.12670744018
Proportional-Optimized,default,2,130.66802897992315,33029.16320705842,33036.0,1434.95026242733,0.9997930502197123,130681.70256580634
Proportional-Optimized,default,3,130.36231396349638,32869.05274658794,32872.0,1108.0025160312653,0.9999103415243351,130368.2084703205
Proportional-Optimized,default,4,131.17340126855674,33118.42837289225,33125.0,1287.16896879673,0.9998016112571246,131186.54452277228
Proportional-Optimized,default,5,131.15451470661165,33054.0,33054.0,1061.4852933883667,1.0,131154.51470661163
Proportional-Optimized,default,6,132.70214196220036,33467.57221870123,33476.0,1151.2913500070572,0.99974824407639,132718.99752479786
Proportional-Optimized,default,7,130.24586518664344,32836.74678857322,32839.0,1096.61554479599,0.9999313861132562,130250.37160949688
Proportional-Optimized,default,8,129.46251576744348,32720.302125650684,32727.0,1405.2969864606857,0.9997953410227238,129475.91151614205
Proportional-Optimized,default,9,129.83504912340646,32780.0,32780.0,1284.9508765935898,1.0,129835.04912340641
Proportional-Optimized,sunny_weekday,0,131.3158609465733,33149.70307887222,33153.0,1276.3575266599655,0.9999005543652827,131322.4547888289
Proportional-Optimized,sunny_weekday,1,130.57823786432374,32996.05557844181,33006.0,1386.0956063270569,0.9996987086724174,130598.12670744018
Proportional-Optimized,sunny_weekday,2,130.66802897992315,33029.16320705842,33036.0,1434.95026242733,0.9997930502197123,130681.70256580634
Proportional-Optimized,sunny_weekday,3,130.36231396349638,32869.05274658794,32872.0,1108.0025160312653,0.9999103415243351,130368.2084703205
Proportional-Optimized,sunny_weekday,4,131.17340126855674,33118.42837289225,33125.0,1287.16896879673,0.9998016112571246,131186.54452277228
Proportional-Optimized,sunny_weekday,5,131.15451470661165,33054.0,33054.0,1061.4852933883667,1.0,131154.51470661163
Proportional-Optimized,sunny_weekday,6,132.70214196220036,33467.57221870123,33476.0,1151.2913500070572,0.99974824407639,132718.99752479786
Proportional-Optimized,sunny_weekday,7,130.24586518664344,32836.74678857322,32839.0,1096.61554479599,0.9999313861132562,130250.37160949688
Proportional-Optimized,sunny_weekday,8,129.46251576744348,32720.302125650684,32727.0,1405.2969864606857,0.9997953410227238,129475.91151614205
Proportional-Optimized,sunny_weekday,9,129.83504912340646,32780.0,32780.0,1284.9508765935898,1.0,129835.04912340641
Proportional-Optimized,rainy_weekend,0,116.70748123598098,29452.0,29452.0,1100.5187640190125,1.0,116707.48123598099
Proportional-Optimized,rainy_weekend,1,117.1278262159824,29597.0,29597.0,1260.1737840175629,1.0,117127.82621598244
Proportional-Optimized,rainy_weekend,2,117.37360512208441,29710.760977625014,29713.0,1464.9607436656952,0.9999246450249054,117378.08316683436
Proportional-Optimized,rainy_weekend,3,116.50233224272738,29481.0,29481.0,1421.6677572727203,1.0,116502.33224272728
Proportional-Optimized,rainy_weekend,4,117.06317021226879,29515.0,29515.0,996.8297877311707,1.0,117063.17021226883
Proportional-Optimized,rainy_weekend,5,117.04080561769014,29579.0,29579.0,1275.1943823099136,1.0,117040.80561769009
Proportional-Optimized,rainy_weekend,6,116.88681978178029,29474.0,29474.0,1009.1802182197571,1.0,116886.81978178024
Proportional-Optimized,rainy_weekend,7,115.89893568623059,29271.0,29271.0,1185.0643137693405,1.0,115898.93568623066
Proportional-Optimized,rainy_weekend,8,116.408927184701,29408.0,29408.0,1223.0728152990341,1.0,116408.92718470097
Proportional-Optimized,rainy_weekend,9,116.16583668935306,29312.0,29312.0,1082.1633106470108,1.0,116165.83668935299
Proportional-Optimized,summer_peak,0,134.06966394221783,33904.0,33904.0,1546.3360577821732,1.0,134069.66394221783
Proportional-Optimized,summer_peak,1,133.9688672736926,33873.58599132371,33881.0,1510.648674249649,0.9997811750339042,133983.69529104518
Proportional-Optimized,summer_peak,2,134.34341905805653,33891.950198029794,33892.0,1224.2821301221848,0.9999985305685647,134343.518661997
Proportional-Optimized,summer_peak,3,133.60030315072405,33708.38312499899,33716.0,1217.995599269867,0.9997740872285855,133615.5369007261
Proportional-Optimized,summer_peak,4,134.93712821900854,34056.0,34056.0,1286.8717809915543,1.0,134937.12821900845
Proportional-Optimized,summer_peak,5,134.53681470778463,33890.49766165495,33895.0,1016.1712621450424,0.9998671680677075,134545.81938447474
Proportional-Optimized,summer_peak,6,135.62199092967393,34206.97848476152,34220.0,1179.8799788951874,0.9996194764687762,135648.0339601509
Proportional-Optimized,summer_peak,7,133.230100391189,33619.2600857284,33645.0,1195.460123181343,0.999234955735723,133281.58021973225
Proportional-Optimized,summer_peak,8,133.31093844366072,33638.0,33638.0,1241.061556339264,1.0,133310.93844366074
Proportional-Optimized,summer_peak,9,133.27912857866284,33645.0,33645.0,1300.8714213371277,1.0,133279.12857866287
Proportional-Optimized,winter_low,0,112.28678707075123,28266.0,28266.0,777.2129292488098,1.0,112286.78707075119
Proportional-Optimized,winter_low,1,111.79637742042544,28186.0,28186.0,947.622579574585,1.0,111796.37742042542
Proportional-Optimized,winter_low,2,112.96725231420992,28491.0,28491.0,996.747685790062,1.0,112967.25231420994
Proportional-Optimized,winter_low,3,111.90882197964193,28246.0,28246.0,1075.1780203580856,1.0,111908.82197964191
Proportional-Optimized,winter_low,4,113.84749591231353,28717.0,28717.0,1020.5040876865387,1.0,113847.49591231346
Proportional-Optimized,winter_low,5,112.35888563513753,28335.0,28335.0,981.114364862442,1.0,112358.88563513756
Proportional-Optimized,winter_low,6,112.95159048593045,28430.0,28430.0,768.4095140695572,1.0,112951.59048593044
Proportional-Optimized,winter_low,7,111.95901994216443,28263.0,28263.0,1092.980057835579,1.0,111959.01994216442
Proportional-Optimized,winter_low,8,111.69440932321552,28190.0,28190.0,1065.5906767845154,1.0,111694.40932321548
Proportional-Optimized,winter_low,9,112.26746253485068,28312.014468223824,28313.0,978.6242744922638,0.9999651915453617,112269.43359840303
