policy,scenario,episode,total_reward,total_served,total_demand,total_cost,service_rate,net_profit
PPO,default,0,130.0010641111012,33103.407594762204,0,2313.3814574719872,0,130100.24892157683
PPO,default,1,128.2181083109438,32784.57638651014,0,2477.350008117035,0,128660.95553792352
PPO,default,2,128.88261812260777,32874.7962154721,0,2294.159170224797,0,129205.02569166361
PPO,default,3,128.94250129986375,32834.04734063111,0,2317.7827439229004,0,129018.40661860153
PPO,default,4,130.01301821411883,33077.240346728926,0,2200.423866254743,0,130108.53752066096
PPO,default,5,129.27370292043958,32954.983473110624,0,2348.197918224265,0,129471.73597421823
PPO,default,6,131.59099638580722,33439.059087964284,0,2091.358141978504,0,131664.87820987863
PPO,default,7,128.98742887227013,32815.32956546465,0,2226.548520517652,0,129034.76974134095
PPO,default,8,128.47262091024345,32622.59037279226,0,1808.9213265101425,0,128681.4401646589
PPO,default,9,128.95856544540186,32775.07046691956,0,2131.857356115477,0,128968.42451156277
PPO,sunny_weekday,0,130.0010641111012,33103.407594762204,0,2313.3814574719872,0,130100.24892157683
PPO,sunny_weekday,1,128.2181083109438,32784.57638651014,0,2477.350008117035,0,128660.95553792352
PPO,sunny_weekday,2,128.88261812260777,32874.7962154721,0,2294.159170224797,0,129205.02569166361
PPO,sunny_weekday,3,128.94250129986375,32834.04734063111,0,2317.7827439229004,0,129018.40661860153
PPO,sunny_weekday,4,130.01301821411883,33077.240346728926,0,2200.423866254743,0,130108.53752066096
PPO,sunny_weekday,5,129.27370292043958,32954.983473110624,0,2348.197918224265,0,129471.73597421823
PPO,sunny_weekday,6,131.59099638580722,33439.059087964284,0,2091.358141978504,0,131664.87820987863
PPO,sunny_weekday,7,128.98742887227013,32815.32956546465,0,2226.548520517652,0,129034.76974134095
PPO,sunny_weekday,8,128.47262091024345,32622.59037279226,0,1808.9213265101425,0,128681.4401646589
PPO,sunny_weekday,9,128.95856544540186,32775.07046691956,0,2131.857356115477,0,128968.42451156277
PPO,rainy_weekend,0,113.6222416245588,29119.39753776362,0,2190.143602022901,0,114287.44654903158
PPO,rainy_weekend,1,115.43915509634685,29475.283189630198,0,2218.544041434303,0,115682.58871708649
PPO,rainy_weekend,2,115.12299749753102,29499.163916435627,0,2445.986001082696,0,115550.66966465981
PPO,rainy_weekend,3,114.29970171875867,29226.328816603764,0,2096.271180863958,0,114809.0440855511
PPO,rainy_weekend,4,114.63609554425301,29278.645814442883,0,2005.7793424043339,0,115108.8039153672
PPO,rainy_weekend,5,114.72323978736058,29334.051541381235,0,2123.0694609268103,0,115213.13670459813
PPO,rainy_weekend,6,114.41056740192718,29217.023550334092,0,1943.5739000773756,0,114924.52030125899
PPO,rainy_weekend,7,114.01475801272355,29115.583618510736,0,2136.7436983408406,0,114325.5907757021
PPO,rainy_weekend,8,113.80055513260274,29149.159756327655,0,2278.403405363206,0,114318.23561994742
PPO,rainy_weekend,9,114.25268193150977,29178.824175660673,0,2196.2631224542856,0,114519.0335801884
PPO,summer_peak,0,131.8108127784032,33666.998782831666,0,2383.179918586742,0,132284.81521273992
PPO,summer_peak,1,133.0059213275256,33840.56998320743,0,2275.498571719043,0,133086.78136111068
PPO,summer_peak,2,132.58267443189686,33759.094143835915,0,2187.8904311186634,0,132848.486144225
PPO,summer_peak,3,130.74772396251237,33376.04243768373,0,2076.530663589947,0,131427.63908714498
PPO,summer_peak,4,133.736913587475,33968.95062315569,0,1964.790151459165,0,133911.0123411636
PPO,summer_peak,5,132.10268692526236,33669.57055535184,0,2124.736406848766,0,132553.5458145586
PPO,summer_peak,6,133.30063390787797,33915.125906190486,0,1750.1215292648412,0,133910.3820954971
PPO,summer_peak,7,131.5834934276184,33505.568968950145,0,2159.9203860824928,0,131862.3554897181
PPO,summer_peak,8,131.31680333483436,33409.22941903589,0,1862.5731793809682,0,131774.34449676258
PPO,summer_peak,9,131.6633079644866,33507.57511315048,0,2092.1427144163754,0,131938.15773818555
PPO,winter_low,0,107.62231340748205,27690.46755186214,0,1988.491903690854,0,108773.37830375771
PPO,winter_low,1,108.79069287360163,27869.404966015358,0,2053.7369224904105,0,109423.88294157102
PPO,winter_low,2,109.49051497485897,28096.905318755194,0,2108.9169376723003,0,110278.70433734848
PPO,winter_low,3,108.40623229526197,27877.51345306219,0,2366.8484231112525,0,109143.20538913751
PPO,winter_low,4,110.2881444931345,28327.381745347102,0,2242.1459789481014,0,111067.3810024403
PPO,winter_low,5,108.95530318903744,27978.26640433401,0,2244.2952369665727,0,109668.77038036946
PPO,winter_low,6,110.00086585417786,28149.314501952256,0,2035.0211575357243,0,110562.2368502733
PPO,winter_low,7,107.69091333800465,27762.418275212105,0,2357.5963132679462,0,108692.07678758047
PPO,winter_low,8,108.54075913441885,27848.908310395433,0,2172.690727953799,0,109222.94251362793
PPO,winter_low,9,107.68102848847434,27737.450291685003,0,2117.673261635704,0,108832.12790510431
