#{"t_start": 1761659488.3956401, "env_id": "None"}
r,l,t
117.647682,168,0.740738
118.295476,168,0.809347
114.360325,168,0.877701
120.54053,168,0.94572
115.170206,168,1.01412
121.611725,168,1.078339
120.083421,168,1.14607
119.418794,168,1.21574
116.355147,168,1.285936
117.897727,168,1.353776
112.756914,168,1.427684
113.521721,168,1.500165
118.380386,168,2.155167
121.274546,168,2.223253
120.422278,168,2.294008
122.268812,168,2.371841
118.033032,168,2.440608
120.27939,168,2.519508
115.831038,168,2.592618
119.22587,168,2.669608
122.043286,168,2.748458
121.285712,168,2.823589
120.161989,168,2.898483
115.096615,168,2.967516
121.151616,168,3.669008
118.613543,168,3.740245
119.560586,168,3.815722
116.729373,168,3.886333
124.233044,168,3.960287
119.887907,168,4.041878
117.471306,168,4.110686
118.736603,168,4.183288
116.492165,168,4.260378
119.149404,168,4.32972
116.947504,168,4.40048
119.216518,168,4.475487
121.329245,168,5.142816
120.884455,168,5.209685
115.827985,168,5.284639
117.18525,168,5.356229
114.992164,168,5.423609
119.964572,168,5.495979
121.050645,168,5.571445
120.291163,168,5.640683
118.052248,168,5.712461
117.230277,168,5.787778
116.564817,168,5.856449
114.848931,168,5.923513
118.836889,168,6.641662
121.261292,168,6.711555
116.46466,168,6.78597
120.712799,168,6.856452
118.164175,168,6.927666
118.656217,168,7.003463
115.417224,168,7.080683
114.732981,168,7.151045
115.305412,168,7.221018
117.300335,168,7.298032
119.529358,168,7.366374
116.116545,168,7.764303
118.597593,168,8.474224
116.947446,168,8.544179
117.322306,168,8.61615
118.376536,168,8.686081
118.495727,168,8.757081
114.28603,168,8.831509
120.196675,168,8.898307
117.462611,168,8.971429
120.300295,168,9.041583
119.796979,168,9.124307
120.985211,168,9.193049
118.83722,168,9.266364
118.222252,168,9.341311
117.701927,168,10.035384
119.939831,168,10.112151
114.52125,168,10.183237
117.840379,168,10.258446
120.780632,168,10.325403
117.032903,168,10.402153
119.82631,168,10.471744
117.688433,168,10.542368
117.991921,168,10.616623
116.11071,168,10.689653
120.307948,168,10.760845
118.714773,168,10.829038
118.765452,168,11.523021
117.81203,168,11.593104
114.420149,168,11.667758
117.39104,168,11.738516
117.544346,168,11.808813
118.836002,168,11.886523
118.866286,168,11.95412
114.834547,168,12.028421
117.90605,168,12.100867
121.180468,168,12.179637
116.740347,168,12.248939
116.786794,168,12.326387
118.676764,168,12.991384
117.613677,168,13.060219
113.76405,168,13.138365
119.579919,168,13.207167
116.963425,168,13.276471
119.839584,168,13.346103
115.625422,168,13.421969
119.567737,168,13.492895
122.132884,168,13.562457
116.059371,168,13.633315
