threshold,rebalance_ratio,avg_score,std_score,scores
0.05,0.2,125547.90992667607,6471.244045225794,"[np.float64(130123.77047376831), np.float64(130123.77047376831), np.float64(116396.18883249164)]"
0.05,0.3,125234.16899839375,6425.053965721224,"[np.float64(129777.36822704475), np.float64(129777.36822704475), np.float64(116147.77054109176)]"
0.05,0.5,124799.47175590198,6417.178733262757,"[np.float64(129337.10235427816), np.float64(129337.10235427816), np.float64(115724.21055914958)]"
0.05,0.7,124622.9907269809,6409.316252071069,"[np.float64(129155.0617115895), np.float64(129155.0617115895), np.float64(115558.8487577637)]"
0.05,0.8,124591.75866069728,6401.428025608081,"[np.float64(129118.25182688236), np.float64(129118.25182688236), np.float64(115538.7723283271)]"
0.1,0.2,125908.46493211057,6484.2271022324585,"[np.float64(130493.50588685274), np.float64(130493.50588685274), np.float64(116738.38302262624)]"
0.1,0.3,125778.97851051226,6461.374092111128,"[np.float64(130347.8599468271), np.float64(130347.8599468271), np.float64(116641.21563788255)]"
0.1,0.5,125580.841064877,6444.43462607549,"[np.float64(130137.74448988836), np.float64(130137.74448988836), np.float64(116467.03421485424)]"
0.1,0.7,125447.11359760497,6397.086410029561,"[np.float64(129970.53677797318), np.float64(129970.53677797318), np.float64(116400.26723686855)]"
0.1,0.8,125386.12241375446,6403.015087531273,"[np.float64(129913.7378021876), np.float64(129913.7378021876), np.float64(116330.89163688819)]"
0.15,0.2,126080.47804557615,6479.317115220633,"[np.float64(130662.04711520672), np.float64(130662.04711520672), np.float64(116917.33990631501)]"
0.15,0.3,126005.12725320127,6475.398790102708,"[np.float64(130583.92564857006), np.float64(130583.92564857006), np.float64(116847.53046246369)]"
0.15,0.5,125899.70687664878,6486.608026304833,"[np.float64(130486.43139894803), np.float64(130486.43139894803), np.float64(116726.25783205032)]"
0.15,0.7,125850.9649484025,6463.274378093679,"[np.float64(130421.19008982182), np.float64(130421.19008982182), np.float64(116710.5146655639)]"
0.15,0.8,125813.32255444262,6450.450288631479,"[np.float64(130374.47969524066), np.float64(130374.47969524066), np.float64(116691.00827284653)]"
0.2,0.2,126200.45279728163,6504.896736695955,"[np.float64(130800.1093907176), np.float64(130800.1093907176), np.float64(117001.13961040974)]"
0.2,0.3,126150.883595758,6503.38967384086,"[np.float64(130749.47453482945), np.float64(130749.47453482945), np.float64(116953.70171761513)]"
0.2,0.5,126059.65611071057,6468.214370083834,"[np.float64(130633.37435396512), np.float64(130633.37435396512), np.float64(116912.21962420146)]"
0.2,0.7,126042.72426940333,6507.371588110141,"[np.float64(130644.1308470567), np.float64(130644.1308470567), np.float64(116839.91111409664)]"
0.2,0.8,125996.17441741626,6416.526935299158,"[np.float64(130533.34412503242), np.float64(130533.34412503242), np.float64(116921.83500218391)]"
0.25,0.2,126268.66208254984,6503.637159899784,"[np.float64(130867.4280206918), np.float64(130867.4280206918), np.float64(117071.13020626594)]"
0.25,0.3,126250.32961756653,6503.743751519514,"[np.float64(130849.17092736562), np.float64(130849.17092736562), np.float64(117052.64699796836)]"
0.25,0.5,126158.68314213223,6489.807865095509,"[np.float64(130747.67029213905), np.float64(130747.67029213905), np.float64(116980.70884211858)]"
0.25,0.7,126151.47450676985,6490.011711745588,"[np.float64(130740.60579812527), np.float64(130740.60579812527), np.float64(116973.21192405901)]"
0.25,0.8,126101.08736962742,6494.651588654142,"[np.float64(130693.49954940875), np.float64(130693.49954940875), np.float64(116916.26301006477)]"
